recipe_id,veg_1,veg_2,veg_3,veg_4,veg_5,category
7576875,tomato,Perilla,ginger,,,chinese
964258,lettuce,,,,,japanese
4021651,sweet potato,,,,,western
3830387,ginger,bell pepper,,,,japanese
6933674,onion ,green onion,,,,japanese
7632746,eggplant,ginger,garlic,Small onion,,chinese
2514812,broccoli,tomato,bell pepper,garlic,,western
5212994,radish,cucumber,,,,chinese
1485431,tomato,carrot,onion,,,western
5938532,asparagus,broccoli,garlic,,,chinese
7262613,carrot,,,,,japanese
5295927,tomato,,,,,western
408921,sweet potato,Bitter melon,,,,chinese
5768059,asparagus,ginger,,,,chinese
6609710,radish,,,,,chinese
3341658,garlic,,,,,western
4232634,radish,carrot,,ginger,,chinese
6399028,broccoli,potato,,,,western
2585212,onion ,tomato,,,,japanese
634461,lettuce,,,,,japanese
1786218,garlic,,,,,western
7125632,bell pepper,onion,,carrot,,chinese
1817090,eggplant,tomato,,,,western
1365275,pumpkin,,,,,japanese
2571488,carrot,radish,corn,green onion,,western
2902243,carrot,potato,cucumber,ginger,,japanese
2424399,ginger,,,,,japanese
6041138,chinese cabbage,,,,,western
4061469,potato,,,,,japanese
5347848,onion ,tomato,,,,japanese
1194297,tomato,,,,,japanese
3968717,eggplant,,,,,japanese
5839475,pumpkin,garlic,,,,chinese
3634424,broccoli,potato,onion,tomato,carrot,western
4617233,radish,garlic,ginger,,,chinese
2897462,asparagus,,,,,western
7163755,carrot,,,,,japanese
7360463,carrot,potato,onion,,,japanese
5451248,broccoli,garlic,,,,western
7147722,carrot,garlic,,,,japanese
3248905,cucumber,,,,,japanese
659346,sweet potato,,,,,japanese
3604177,tomato,,,,,western
5444709,radish,chinese cabbage,carrot,green onion,,japanese
1987649,tomato,bell pepper,asparagus,eggplant,garlic,western
5913901,chinese cabbage,green onion,,,,japanese
7019931,carrot,radish,green onion,,,western
7449145,broccoli,bell pepper,ginger,,,chinese
7115159,corn,,,,,chinese
